name,scr,naming,conditional,events,loop,proc,lists,dp,sensors,media,social,connect,draw,operator,ui,total
prQuizApp0318233600,1,3,2,2,0,1,2,0,0,0,0,0,0,3,2,16
prquizOhm0318121846,2,3,0,2,0,0,0,0,0,0,0,0,0,0,1,8
prQuizVideoGam0318201814,3,2,0,1,0,0,0,0,0,0,0,0,0,0,1,7
prRadio0218001403,3,3,0,2,0,0,0,0,0,1,0,1,0,0,3,13
prRainbowapp0218001741,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5
prRainbowapp0218221617,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5
prRainbowapp0318195011,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5
prRamadan0318121814,3,0,0,2,0,0,0,0,0,0,0,0,0,0,2,7
prRapperTalks0218001527,3,0,0,2,0,0,0,0,0,1,0,0,0,1,2,9
prRapperTalks0318180205,3,0,0,2,0,0,0,0,0,1,0,0,0,1,2,9
prRapperTalks0318204335,3,0,0,2,0,0,0,0,0,1,0,0,0,1,2,9
prRapperTalks0318233303,3,0,0,2,0,0,0,0,0,1,0,0,0,1,2,9
prRateEverythi0318233040,2,2,2,3,0,1,2,2,1,2,0,0,1,3,3,24
prRayssa0218222255,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
prRECapp0318104758,1,2,1,2,0,0,1,2,0,2,0,0,0,3,3,17
prrevive0218001817,1,0,0,3,0,0,0,0,0,1,0,0,1,2,2,10
prrevive0218221655,1,0,0,3,0,0,0,0,0,1,0,0,1,2,2,10
prrevive0318175751,1,0,0,3,0,0,0,0,0,1,0,0,1,2,2,10
prrevive0318181239,2,0,0,3,0,0,0,0,0,1,0,0,1,2,2,11
prrevive0318194939,1,0,0,3,0,0,0,0,0,1,0,0,1,2,2,10
prrevive0318204758,1,0,0,3,0,0,0,0,0,1,0,0,1,2,2,10
prrileysgame0318232721,1,2,1,2,0,0,0,0,0,0,0,0,0,3,3,12
prRisovalka0318182015,1,1,0,2,0,0,0,0,1,1,0,0,1,0,0,7
prROBOT0318194907,2,2,2,3,0,0,0,0,1,0,0,2,0,1,3,16
prRobotRemote0318205100,1,2,1,3,0,0,0,0,0,0,0,2,0,2,3,14
prryangame0318181612,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
prSalterasRadio0318104300,2,2,1,3,0,0,0,0,1,2,0,1,0,3,2,17
prSanke0318195511,2,3,1,2,0,2,2,0,0,1,0,0,3,3,2,21
prScavenger0318233626,3,0,0,1,0,0,0,0,0,1,0,0,0,0,3,8
prSchoolClassm0418213101,2,1,3,3,0,0,2,3,1,0,0,0,0,3,3,21
prschoolprojec0318203228,3,2,0,2,0,0,0,0,0,0,0,0,0,0,1,8
prschoolxprobl0318182042,3,0,0,1,0,0,0,0,0,0,0,0,1,0,3,8
prScientificCa0318175338,1,3,1,2,0,0,0,0,0,0,0,0,1,3,3,14
prSeaMadnes0318104518,2,2,2,3,0,3,0,0,1,1,0,0,3,3,3,23
prSHAKENLISTEN0318232353,2,2,0,2,0,0,0,2,1,2,0,0,0,0,3,14
prShiftHourCou0218221304,2,2,0,1,0,0,0,2,0,0,0,0,0,1,3,11
prshooter0218221816,1,2,0,3,0,0,0,0,1,0,0,0,3,3,2,15
prshoppingitem0318181425,2,3,2,2,0,0,0,2,0,0,0,0,0,3,3,17
prShowingAceel0318204304,1,2,0,2,0,0,0,0,1,0,0,0,0,1,3,10
prShowingOrien0318204314,1,2,0,2,0,0,0,0,1,0,0,0,0,3,2,11
prSimpleRubikA0318232830,2,2,3,3,3,3,2,2,1,0,0,0,3,3,3,30
prSistemaDeMon0318232541,2,2,1,3,0,0,3,0,1,0,0,3,0,3,3,21
prslideshowgla0318111818,1,1,2,2,0,0,1,0,0,0,0,0,0,3,2,12
prslideshowkom0418212246,1,1,2,2,0,0,1,0,0,0,0,0,0,3,2,12
prslideshowVer0418212256,1,1,2,2,0,0,1,0,0,0,0,0,0,3,2,12
prSmartWellness0318104123,3,3,2,3,2,3,3,2,0,0,1,1,0,3,3,29
prSnake0218221248,1,2,1,2,0,0,0,0,1,0,0,0,3,3,3,16
prSocialPlatfo0218001147,3,2,0,2,0,0,0,0,0,0,0,1,0,0,3,11
prSocialPlatfo0318111442,3,2,0,2,0,0,0,0,0,0,0,1,0,0,3,11
prSocialPlatfo0318203255,3,2,0,2,0,0,0,0,0,0,0,1,0,0,3,11
prSongGame0318181403,3,2,0,1,0,0,0,0,0,1,0,0,0,0,2,9
prSonidoAnimal0318175619,3,2,1,2,0,0,0,0,0,3,0,0,0,0,3,14
prSonidoglpt0318232711,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,5
prsonidosdeani0318175837,2,3,0,1,0,0,0,0,0,2,0,0,0,0,2,10
prSoundrep0318175705,2,2,0,2,0,0,0,0,0,2,0,0,0,0,3,11
prSpaceInvaders0318233016,1,3,0,2,0,3,0,0,1,2,0,0,3,3,1,19
prSpeakEnglish0318111340,1,0,0,3,0,0,0,0,1,3,0,0,0,0,1,9
prSpeakerTradu0318104239,1,2,0,0,0,0,0,0,0,3,0,0,0,0,3,9
prspooky0218001454,3,1,0,3,0,0,0,0,1,1,0,0,1,3,2,15
prspooky0318180425,3,1,0,3,0,0,0,0,1,1,0,0,1,3,2,15
prspooky0318195056,3,1,0,3,0,0,0,0,1,1,0,0,1,3,2,15
prspooky0318204439,3,1,0,3,0,0,0,0,1,1,0,0,1,3,2,15
prspooky0318233419,3,1,0,3,0,0,0,0,1,1,0,0,1,3,2,15
prSports18Spark0418213448,3,2,0,1,0,0,0,0,0,0,0,0,0,0,2,8
prSpriteSmash0318122226,1,2,0,2,0,2,0,0,1,0,0,0,3,3,2,16
prSpriteSmashh0318181912,1,2,2,2,0,2,0,0,1,0,0,0,3,3,2,18
prStarterProje0218221422,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
prSTEREOcarpi0318105821,1,2,0,1,0,0,0,0,0,1,0,1,0,0,2,8
prStoryofdabest0218001215,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
prStudioDance0318105832,1,2,0,1,0,0,0,0,0,1,0,1,0,0,2,8
prSumadedosnum0418212451,1,3,0,1,0,0,0,0,0,0,0,0,0,2,3,10
prSuperBowling0318232942,1,2,1,3,0,0,0,0,0,0,0,0,3,3,2,15
prSVCoffeedear0318104714,2,3,3,3,3,3,3,2,1,0,1,0,0,3,2,29
prSVCoffeesqui0418213310,3,3,3,3,3,3,3,2,1,0,0,0,0,3,3,30
prT10318203601,1,1,1,2,0,0,0,0,0,0,1,0,0,1,2,9
prTabladeboton0318121331,2,3,0,1,0,0,0,0,0,1,0,0,0,0,2,9
prTakeandDraw0318104205,1,2,0,3,0,0,0,0,0,1,0,0,1,2,2,12
prTakingPictur0318233217,2,2,0,3,0,0,0,0,0,2,0,0,1,2,3,15
prTalktome0218221741,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,6
prTalktome0318121925,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,6
prTalkToMe0318181551,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,5
prTalkToMeCheon0218221029,1,3,0,2,0,0,2,0,1,1,0,0,0,0,1,11
prTaptheanimal0418212306,2,3,0,2,0,0,0,0,0,1,0,0,0,0,2,10
prTDFWButton0318194918,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,5
prTemplate0318104544,1,2,0,1,0,0,0,0,0,0,0,0,0,0,3,7
prTeoremaPitgo0418212420,1,2,0,1,0,0,0,0,0,0,0,0,0,3,2,9
prTest111111110318105709,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
prtestavegrage0318175946,2,2,1,1,0,0,0,2,0,0,0,0,0,3,3,14
prtestaverage0318175447,2,3,1,2,0,0,0,2,0,0,0,0,0,3,3,16
prTestBlu0218001304,1,3,2,3,0,2,0,0,1,1,0,2,0,3,3,21
prTestBlu0318104702,1,3,0,2,0,0,0,0,1,0,0,0,0,3,2,12
